emp_id,module,status,due_date
C001,Customer Experience,Pending,2025-09-13
C001,Onboarding Basics,In Progress,2025-09-07
C001,Safety & Handling,Completed,2025-10-21
C002,Safety & Handling,In Progress,2025-07-18
C002,POS Compliance,Completed,2025-10-12
C003,Loss Prevention,Pending,2025-07-24
C003,Safety & Handling,Completed,2025-08-14
C003,POS Compliance,Completed,2025-09-28
C004,Safety & Handling,Pending,2025-10-01
C005,Loss Prevention,In Progress,2025-09-04
C006,Customer Experience,Completed,2025-09-05
C006,Onboarding Basics,In Progress,2025-10-27
C006,Safety & Handling,Completed,2025-08-28
C007,Loss Prevention,In Progress,2025-10-06
C007,Safety & Handling,In Progress,2025-07-08
C008,Safety & Handling,In Progress,2025-10-30
C009,Customer Experience,Pending,2025-08-14
C009,Onboarding Basics,Pending,2025-10-12
C010,Customer Experience,In Progress,2025-10-16
C010,Loss Prevention,In Progress,2025-07-18
C010,POS Compliance,Pending,2025-10-28
C011,Onboarding Basics,Completed,2025-10-29
C011,Customer Experience,Pending,2025-07-22
C011,Product Knowledge,Pending,2025-08-23
C012,Onboarding Basics,In Progress,2025-07-30
C012,Product Knowledge,In Progress,2025-09-17
C012,Customer Experience,In Progress,2025-07-16
C013,POS Compliance,In Progress,2025-08-07
C013,Loss Prevention,In Progress,2025-07-22
C013,Product Knowledge,In Progress,2025-09-07
C014,Loss Prevention,Pending,2025-08-18
C014,POS Compliance,Pending,2025-10-30
C014,Customer Experience,In Progress,2025-09-10
C015,Product Knowledge,Pending,2025-07-16
C015,Onboarding Basics,Pending,2025-08-21
C016,Customer Experience,Completed,2025-10-22
C016,Loss Prevention,In Progress,2025-09-06
C017,Loss Prevention,In Progress,2025-09-03
C017,Customer Experience,In Progress,2025-08-24
C017,Product Knowledge,Completed,2025-10-04
C018,Safety & Handling,Completed,2025-07-19
C019,POS Compliance,Completed,2025-07-17
C019,Product Knowledge,Pending,2025-07-29
C020,Loss Prevention,Pending,2025-07-26
C021,POS Compliance,In Progress,2025-09-12
C022,Product Knowledge,In Progress,2025-08-30
C023,POS Compliance,Pending,2025-08-30
C023,Safety & Handling,In Progress,2025-10-10
C023,Product Knowledge,Pending,2025-07-10
C024,Onboarding Basics,Completed,2025-07-10
C025,Loss Prevention,Pending,2025-09-20
C025,Product Knowledge,In Progress,2025-09-29
C025,Safety & Handling,Pending,2025-10-16
C026,Customer Experience,In Progress,2025-10-23
C026,Loss Prevention,Pending,2025-09-02
C027,Customer Experience,Pending,2025-10-30
C027,POS Compliance,Pending,2025-07-29
C028,Safety & Handling,Pending,2025-08-24
C029,POS Compliance,Pending,2025-08-22
C030,POS Compliance,Completed,2025-11-03
C030,Customer Experience,In Progress,2025-10-07
C031,POS Compliance,In Progress,2025-10-23
C031,Loss Prevention,In Progress,2025-10-04
C032,POS Compliance,Completed,2025-08-07
C033,Product Knowledge,Completed,2025-09-19
C034,Product Knowledge,Completed,2025-07-31
